ID,MARITAL_STATUS,PAY_0,default,signup_at,LEAK_FUTURE_DEFAULT
1082,NULL,-2,1,,1
1083,NULL,late,0,2024-01-02T10:00:00Z,0
1084,NULL,-2,1,2024-01-02T10:00:00Z,1
1086,married,1,1,,1
1087,NULL,0,0,2024-01-02T10:00:00Z,0
1088,??,2,1,2024-01-02T10:00:00Z,1
1089,divorced,-1,1,2024-01-02T10:00:00Z,1
1090,NULL,late,0,2024-01-02T00:00:00Z,0
1091,??,1,1,,1
1092,single,0,0,2024-01-02T10:00:00Z,0
1093,??,2,1,2024-01-02T10:00:00Z,1
1094,divorced,0,0,2024-01-02T00:00:00Z,0
1095,NULL,late,0,,0
1096,single,-1,1,2024-01-02T00:00:00Z,1
1097,NULL,-1,0,2024-01-02T10:00:00Z,0
1098,??,-2,1,,1
1099,divorced,-1,1,2024-01-02T10:00:00Z,1
1100,??,-2,0,2024-01-02T00:00:00Z,0
1101,single,-1,1,2024-01-02T00:00:00Z,1
1103,NULL,late,0,2024-01-02T10:00:00Z,0
1104,married,-1,0,2024-01-02T00:00:00Z,0
1105,??,late,1,2024-01-02T10:00:00Z,1
1106,divorced,late,0,2024-01-02T10:00:00Z,0
1107,??,-2,0,2024-01-02T10:00:00Z,0
1108,single,-1,1,,1
1109,divorced,late,1,,1
1110,??,late,1,2024-01-02T10:00:00Z,1
1111,NULL,2,1,2024-01-02T10:00:00Z,1
1112,NULL,late,0,,0
1113,single,1,1,2024-01-02T10:00:00Z,1
1114,married,0,1,2024-01-02T10:00:00Z,1
1115,NULL,-2,1,2024-01-02T10:00:00Z,1
1116,??,2,1,,1
1117,NULL,0,1,2024-01-02T10:00:00Z,1
1118,NULL,-1,1,2024-01-02T10:00:00Z,1
1120,??,-2,1,2024-01-02T10:00:00Z,1
1121,??,1,1,2024-01-02T00:00:00Z,1
1122,NULL,2,0,2024-01-02T10:00:00Z,0
1123,NULL,0,1,,1
1124,NULL,1,1,,1
1125,married,2,1,2024-01-02T10:00:00Z,1
1126,??,1,0,,0
1127,NULL,2,1,2024-01-02T10:00:00Z,1
1128,single,late,0,2024-01-02T10:00:00Z,0
1129,divorced,2,0,2024-01-02T10:00:00Z,0
1130,divorced,late,0,2024-01-02T10:00:00Z,0
1131,married,late,0,2024-01-02T10:00:00Z,0
1132,divorced,-2,0,2024-01-02T10:00:00Z,0
1133,??,-1,1,2024-01-02T00:00:00Z,1
1134,single,2,0,,0
1135,married,1,1,2024-01-02T10:00:00Z,1
1137,NULL,0,1,,1
1138,??,1,1,2024-01-02T10:00:00Z,1
1139,divorced,-2,1,2024-01-02T10:00:00Z,1
1140,NULL,late,0,2024-01-02T10:00:00Z,0
1141,NULL,0,0,2024-01-02T10:00:00Z,0
1142,divorced,1,1,2024-01-02T00:00:00Z,1
1143,divorced,late,0,2024-01-02T00:00:00Z,0
1144,NULL,2,1,,1
1145,single,1,0,,0
1146,single,1,0,,0
1147,NULL,1,0,2024-01-02T00:00:00Z,0
1148,NULL,2,0,2024-01-02T10:00:00Z,0
1149,divorced,late,0,2024-01-02T10:00:00Z,0
1150,??,-2,0,,0
1151,NULL,1,0,,0
1152,??,2,0,2024-01-02T10:00:00Z,0
1154,divorced,-1,0,2024-01-02T00:00:00Z,0
1155,single,0,0,2024-01-02T10:00:00Z,0
1156,NULL,-1,0,2024-01-02T10:00:00Z,0
1157,married,2,0,2024-01-02T10:00:00Z,0
1158,divorced,-1,0,2024-01-02T00:00:00Z,0
1159,married,late,0,2024-01-02T10:00:00Z,0
1160,divorced,2,1,2024-01-02T00:00:00Z,1
1161,NULL,0,0,2024-01-02T10:00:00Z,0
1162,??,late,1,2024-01-02T10:00:00Z,1
1163,NULL,-1,1,2024-01-02T10:00:00Z,1
1164,??,2,0,2024-01-02T10:00:00Z,0
1165,??,1,1,,1
1166,single,0,1,2024-01-02T10:00:00Z,1
1167,single,-2,1,2024-01-02T10:00:00Z,1
1168,NULL,-2,1,2024-01-02T10:00:00Z,1
1169,??,late,1,2024-01-02T10:00:00Z,1
1171,single,0,1,2024-01-02T10:00:00Z,1
1172,single,-1,1,2024-01-02T10:00:00Z,1
1173,married,-1,1,2024-01-02T10:00:00Z,1
1174,single,late,1,,1
1175,married,0,1,2024-01-02T10:00:00Z,1
1176,married,2,0,2024-01-02T10:00:00Z,0
1177,??,2,1,2024-01-02T00:00:00Z,1
1178,divorced,1,1,2024-01-02T10:00:00Z,1
1179,??,2,0,2024-01-02T10:00:00Z,0
1180,divorced,0,0,,0
1181,married,1,0,2024-01-02T10:00:00Z,0
1182,single,1,0,2024-01-02T10:00:00Z,0
1183,NULL,1,1,2024-01-02T10:00:00Z,1
1184,single,0,1,2024-01-02T10:00:00Z,1
1185,single,-1,1,2024-01-02T10:00:00Z,1
1186,divorced,-1,0,2024-01-02T10:00:00Z,0
1187,divorced,0,0,2024-01-02T00:00:00Z,0
1188,divorced,-1,0,2024-01-02T10:00:00Z,0
1189,??,2,1,2024-01-02T10:00:00Z,1
1190,married,1,1,2024-01-02T10:00:00Z,1
1191,divorced,2,1,,1
1192,divorced,0,0,,0
1193,??,2,1,,1
1194,single,1,0,2024-01-02T00:00:00Z,0
1195,??,1,0,2024-01-02T10:00:00Z,0
1196,??,1,0,2024-01-02T10:00:00Z,0
1197,single,2,1,2024-01-02T10:00:00Z,1
1198,divorced,-2,0,2024-01-02T10:00:00Z,0
1199,married,2,1,,1
