ID,PAY_0,default,signup_at
1147,1,0,2024-01-02T00:00:00Z
1148,2,0,2024-01-02T10:00:00Z
1149,late,0,2024-01-02T10:00:00Z
1150,-2,0,
1151,1,0,
1152,2,0,2024-01-02T10:00:00Z
1154,-1,0,2024-01-02T00:00:00Z
1155,0,0,2024-01-02T10:00:00Z
1156,-1,0,2024-01-02T10:00:00Z
1157,2,0,2024-01-02T10:00:00Z
1158,-1,0,2024-01-02T00:00:00Z
1159,late,0,2024-01-02T10:00:00Z
1160,2,1,2024-01-02T00:00:00Z
1161,0,0,2024-01-02T10:00:00Z
1162,late,1,2024-01-02T10:00:00Z
1163,-1,1,2024-01-02T10:00:00Z
1164,2,0,2024-01-02T10:00:00Z
1165,1,1,
1166,0,1,2024-01-02T10:00:00Z
1167,-2,1,2024-01-02T10:00:00Z
1168,-2,1,2024-01-02T10:00:00Z
1169,late,1,2024-01-02T10:00:00Z
1171,0,1,2024-01-02T10:00:00Z
1172,-1,1,2024-01-02T10:00:00Z
1173,-1,1,2024-01-02T10:00:00Z
1174,late,1,
1175,0,1,2024-01-02T10:00:00Z
1176,2,0,2024-01-02T10:00:00Z
1177,2,1,2024-01-02T00:00:00Z
1178,1,1,2024-01-02T10:00:00Z
1179,2,0,2024-01-02T10:00:00Z
1180,0,0,
1181,1,0,2024-01-02T10:00:00Z
1182,1,0,2024-01-02T10:00:00Z
1183,1,1,2024-01-02T10:00:00Z
1184,0,1,2024-01-02T10:00:00Z
1185,-1,1,2024-01-02T10:00:00Z
1186,-1,0,2024-01-02T10:00:00Z
1187,0,0,2024-01-02T00:00:00Z
1188,-1,0,2024-01-02T10:00:00Z
1189,2,1,2024-01-02T10:00:00Z
1190,1,1,2024-01-02T10:00:00Z
1191,2,1,
1192,0,0,
1193,2,1,
1194,1,0,2024-01-02T00:00:00Z
1195,1,0,2024-01-02T10:00:00Z
1196,1,0,2024-01-02T10:00:00Z
1197,2,1,2024-01-02T10:00:00Z
1198,-2,0,2024-01-02T10:00:00Z
1199,2,1,
